"pid","degree","eigen_clust","walk_clust"
"100004",97,202,344
"100005",97,202,344
"100023",97,202,344
"100025",97,202,344
"100031",97,202,344
"100060",97,202,344
"100077",97,202,344
"100096",97,202,344
"100101",97,202,344
"100107",97,202,344
"100113",97,202,344
"100114",97,202,344
"100115",97,202,344
"10013",55,65,273
"100142",97,202,344
"100172",97,202,344
"100188",259,1,52
"100203",97,202,344
"10021",55,65,273
"100237",97,202,344
"100280",97,202,344
"100283",97,202,344
"10029",55,65,273
"100298",97,202,344
"100305",97,202,344
"100316",97,202,344
"100338",97,202,344
"100349",97,202,344
"100360",97,202,344
"100364",97,202,344
"100368",97,202,344
"100373",97,202,344
"100382",97,202,344
"100383",97,202,344
"100393",97,202,344
"10040",55,65,273
"100400",97,202,344
"100416",97,202,344
"100421",97,202,344
"100425",114,203,515
"100437",97,202,344
"100460",97,202,344
"100468",97,202,344
"100472",97,202,344
"100476",97,202,344
"100485",97,202,344
"10049",55,65,273
"100496",97,202,344
"100499",97,202,344
"100507",114,203,515
"100534",114,203,515
"100551",114,203,515
"100582",114,203,515
"100613",114,203,515
"100614",114,203,515
"100619",114,203,515
"10062",55,65,273
"100623",114,203,515
"100630",114,203,515
"100648",114,203,515
"10065",55,65,273
"100653",114,203,515
"100667",114,203,515
"100684",114,203,515
"100686",114,203,515
"100687",114,203,515
"100696",114,203,515
"100701",114,203,515
"100706",114,203,515
"100731",114,203,515
"100735",114,203,515
"100745",114,203,515
"100768",114,203,515
"100777",114,203,515
"100783",114,203,515
"100795",114,203,515
"100799",114,203,515
"100804",114,203,515
"100805",114,203,515
"100807",114,203,515
"100818",114,203,515
"100821",114,203,515
"100827",114,203,515
"100833",114,203,515
"100840",114,203,515
"100866",114,203,515
"100873",114,203,515
"100880",114,203,515
"100897",114,203,515
"100907",114,203,515
"100915",114,203,515
"100917",114,203,515
"100925",114,203,515
"100945",114,203,515
"100950",114,203,515
"100958",114,203,515
"100959",114,203,515
"100964",114,203,515
"100988",114,203,515
"101025",114,203,515
"101028",114,203,515
"101042",114,203,515
"101090",114,203,515
"101092",114,203,515
"101101",114,203,515
"101111",114,203,515
"101129",114,203,515
"101132",114,203,515
"101146",114,203,515
"101191",114,203,515
"101209",103,1,230
"101241",103,1,230
"101243",103,1,230
"101244",103,1,230
"101251",103,1,230
"101286",103,1,230
"101297",103,1,230
"101317",103,1,230
"101321",103,1,230
"101322",103,1,230
"101325",103,1,230
"101329",103,1,230
"101334",103,1,230
"101345",103,1,230
"10135",55,65,273
"101370",103,1,230
"101378",103,1,230
"101381",103,1,230
"101384",103,1,230
"101389",103,1,230
"10140",55,65,273
"101411",103,1,230
"101416",103,1,230
"101434",103,1,230
"101438",103,1,230
"101439",103,1,230
"101440",103,1,230
"101453",103,1,230
"101465",103,1,230
"101495",103,1,230
"101499",103,1,230
"101508",103,1,230
"101518",103,1,230
"101539",103,1,230
"101540",103,1,230
"101543",103,1,230
"101556",103,1,230
"101569",103,1,230
"101582",103,1,230
"101601",103,1,230
"101608",103,1,230
"101635",103,1,230
"101645",103,1,230
"101662",103,1,230
"101689",103,1,230
"101717",103,1,230
"101720",103,1,230
"101730",103,1,230
"101755",103,1,230
"101782",103,1,230
"101816",103,1,230
"101828",103,1,230
"101834",103,1,230
"101836",103,1,230
"101846",103,1,230
"101858",103,1,230
"101872",138,1,200
"101874",138,1,200
"101891",138,1,200
"101896",138,1,200
"10190",55,65,273
"101901",138,1,200
"101921",138,1,200
"101922",138,1,200
"101930",138,1,200
"101936",138,1,200
"101947",138,1,200
"10197",53,66,289
"101989",138,1,200
"102001",138,1,200
"102008",138,1,200
"102009",138,1,200
"102017",138,1,200
"102039",138,1,200
"102050",138,1,200
"10206",55,65,273
"102061",138,1,200
"102062",138,1,200
"102067",138,1,200
"102073",138,1,200
"102089",138,1,200
"102119",138,1,200
"102120",138,1,200
"102124",138,1,200
"102138",138,1,200
"102166",138,1,200
"10218",55,65,273
"102196",138,1,200
"10221",55,65,273
"102210",138,1,200
"102276",138,1,200
"102277",138,1,200
"102278",138,1,200
"102286",138,1,200
"102288",138,1,200
"102302",138,1,200
"102309",138,1,200
"102317",138,1,200
"102323",138,1,200
"102338",138,1,200
"102349",138,1,200
"10235",53,66,289
"102375",138,1,200
"102388",138,1,200
"10239",53,66,289
"102404",138,1,200
"102421",138,1,200
"102433",138,1,200
"102434",138,1,200
"102435",138,1,200
"102444",138,1,200
"102453",138,1,200
"102469",138,1,200
"102472",138,1,200
"102474",138,1,200
"102476",138,1,200
"102478",138,1,200
"102479",95,204,314
"102488",95,204,314
"102498",138,1,200
"102511",138,1,200
"102520",138,1,200
"102528",138,1,200
"102554",95,204,314
"102566",95,204,314
"102583",95,204,314
"102590",95,204,314
"102591",95,204,314
"102632",95,204,314
"102635",95,204,314
"102665",95,204,314
"102675",95,204,314
"102688",95,204,314
"102701",95,204,314
"10271",53,66,289
"102713",95,204,314
"102734",95,204,314
"102735",95,204,314
"102775",95,204,314
"102777",95,204,314
"102787",95,204,314
"102824",95,204,314
"102834",95,204,314
"102835",95,204,314
"102836",95,204,314
"102874",95,204,314
"102912",95,204,314
"102916",95,204,314
"102930",95,204,314
"102935",95,204,314
"102972",95,204,314
"102995",95,204,314
"103000",95,204,314
"103028",95,204,314
"103040",95,204,314
"10307",53,66,289
"103072",95,204,314
"103087",95,204,314
"103101",95,204,314
"103116",95,204,314
"103119",95,204,314
"103128",67,1,29
"103131",95,204,314
"103136",95,204,314
"103137",95,204,314
"10314",53,66,289
"103144",95,204,314
"103150",95,204,314
"103151",95,204,314
"103159",95,204,314
"103172",95,204,314
"103198",67,1,29
"103200",67,1,29
"103203",67,1,29
"103214",67,1,29
"103220",67,1,29
"103253",67,1,29
"103254",67,1,29
"103256",67,1,29
"103264",67,1,29
"103272",67,1,29
"103273",67,1,29
"103284",67,1,29
"103296",67,1,29
"103303",67,1,29
"103316",67,1,29
"103332",67,1,29
"103338",67,1,29
"10335",53,66,289
"103357",67,1,29
"103380",67,1,29
"103389",67,1,29
"103406",67,1,29
"103409",67,1,29
"103449",67,1,29
"103454",67,1,29
"103477",67,1,29
"103484",67,1,29
"10350",53,66,289
"103517",67,1,29
"103521",67,1,29
"10353",53,66,289
"103543",67,1,29
"103544",67,1,29
"103560",67,1,29
"103569",67,1,29
"10357",53,66,289
"103575",67,1,29
"103604",67,1,29
"103607",67,1,29
"103615",67,1,29
"103627",67,1,29
"103634",67,1,29
"103637",67,1,29
"103643",67,1,29
"103644",67,1,29
"103651",67,1,29
"103659",67,1,29
"103664",67,1,29
"103669",67,1,29
"103672",67,1,29
"103690",67,1,29
"103729",67,1,29
"10375",53,66,289
"103754",67,1,29
"103772",67,1,29
"103784",46,205,442
"103786",67,1,29
"103787",67,1,29
"103817",67,1,29
"10382",53,66,289
"103825",67,1,29
"103827",67,1,29
"103860",67,1,29
"103863",67,1,29
"103893",46,205,442
"103895",46,205,442
"103901",46,205,442
"103918",46,205,442
"103922",46,205,442
"103958",46,205,442
"103965",46,205,442
"103989",46,205,442
"104018",46,205,442
"104036",46,205,442
"104039",46,205,442
"10404",53,66,289
"104046",46,205,442
"104067",46,205,442
"104089",46,205,442
"104121",46,205,442
"104141",46,205,442
"104149",46,205,442
"10417",53,66,289
"104181",46,205,442
"104188",46,205,442
"104191",46,205,442
"104199",46,205,442
"104207",46,205,442
"104211",46,205,442
"104235",46,205,442
"104243",46,205,442
"104244",46,205,442
"104272",46,205,442
"104280",46,205,442
"104291",46,205,442
"104296",46,205,442
"104311",46,205,442
"104342",46,205,442
"104347",46,205,442
"10435",53,66,289
"104362",46,205,442
"104364",46,205,442
"104368",46,205,442
"104373",46,205,442
"10439",53,66,289
"104415",46,205,442
"104426",46,205,442
"104449",46,205,442
"10445",53,66,289
"104460",52,103,198
"104472",46,205,442
"104478",46,205,442
"104482",46,205,442
"104497",46,205,442
"10450",53,66,289
"104522",46,205,442
"104528",46,205,442
"104535",52,103,198
"104539",52,103,198
"104549",52,103,198
"104557",52,103,198
"104589",52,103,198
"104596",52,103,198
"104604",52,103,198
"104605",52,103,198
"104606",52,103,198
"104607",52,103,198
"104613",52,103,198
"104618",52,103,198
"10465",53,66,289
"104651",52,103,198
"104662",52,103,198
"104664",52,103,198
"10468",53,66,289
"104696",52,103,198
"104718",52,103,198
"104730",52,103,198
"104750",52,103,198
"104753",52,103,198
"104755",52,103,198
"104768",52,103,198
"104776",52,103,198
"104797",52,103,198
"10480",53,66,289
"104831",52,103,198
"104834",52,103,198
"104857",52,103,198
"104885",52,103,198
"104894",52,103,198
"104907",52,103,198
"104919",52,103,198
"104926",52,103,198
"104960",52,103,198
"104962",52,103,198
"104963",52,103,198
"104997",52,103,198
"1050",42,50,560
"105004",52,103,198
"105022",52,103,198
"105040",52,103,198
"105051",52,103,198
"105071",52,103,198
"105086",52,103,198
"105090",52,103,198
"105092",49,206,303
"105098",52,103,198
"105110",52,103,198
"105133",52,103,198
"105142",52,103,198
"105160",52,103,198
"105163",52,103,198
"105165",52,103,198
"105166",52,103,198
"105179",49,206,303
"105197",49,206,303
"105202",49,206,303
"105204",49,206,303
"105207",49,206,303
"105227",49,206,303
"105264",49,206,303
"1053",42,50,560
"10532",53,66,289
"105331",49,206,303
"105334",49,206,303
"105336",49,206,303
"105352",49,206,303
"10538",53,66,289
"105384",49,206,303
"105385",49,206,303
"105397",49,206,303
"105417",49,206,303
"105449",49,206,303
"105459",49,206,303
"105460",49,206,303
"105474",49,206,303
"105489",49,206,303
"10549",53,66,289
"105497",49,206,303
"105505",49,206,303
"105508",49,206,303
"105519",49,206,303
"105523",49,206,303
"105544",49,206,303
"105559",49,206,303
"10559",53,66,289
"105596",49,206,303
"105605",49,206,303
"105615",49,206,303
"105616",49,206,303
"105620",49,206,303
"105651",49,206,303
"10566",53,66,289
"105671",49,206,303
"10568",53,66,289
"105682",49,206,303
"105691",49,206,303
"105694",49,206,303
"105708",49,206,303
"105713",49,206,303
"105714",49,206,303
"105731",49,206,303
"105737",49,206,303
"105744",49,206,303
"105746",49,206,303
"105764",49,206,303
"105777",49,206,303
"105789",49,206,303
"10580",53,66,289
"105805",49,206,303
"105825",49,206,303
"105868",73,1,28
"105873",73,1,28
"105885",73,1,28
"105906",73,1,28
"105908",73,1,28
"105936",73,1,28
"105953",73,1,28
"105968",73,1,28
"105969",73,1,28
"105974",73,1,28
"105977",73,1,28
"105997",73,1,28
"106002",73,1,28
"106015",73,1,28
"106027",73,1,28
"106035",73,1,28
"106042",73,1,28
