"pid","degree","eigen_clust","walk_clust"
"doi:10.18739/A2000001N",1,1,81
"doi:10.18739/A20000024",7,2,231
"doi:10.18739/A20005",19,3,26
"doi:10.18739/A2002X",26,4,225
"doi:10.18739/A2020V",97,5,51
"doi:10.18739/A2027H",315,6,43
"doi:10.18739/A2028PC41",33,7,128
"doi:10.18739/A2028PC7G",109,8,62
"doi:10.18739/A2028W",19,9,138
"doi:10.18739/A20298",25,167,24
"doi:10.18739/A2033B",23,170,79
"doi:10.18739/A2036G",11,10,238
"doi:10.18739/A2052N",331,11,82
"doi:10.18739/A20531",315,6,43
"doi:10.18739/A2057CR7B",9,12,127
"doi:10.18739/A2057CR99",109,8,62
"doi:10.18739/A2058X",27,13,1
"doi:10.18739/A2063C",32,170,25
"doi:10.18739/A20819",331,11,82
"doi:10.18739/A20921",10,14,110
"doi:10.18739/A2094S",80,15,133
"doi:10.18739/A20955",38,16,235
"doi:10.18739/A20B8N",331,11,82
"doi:10.18739/A20C0Z",315,6,43
"doi:10.18739/A20C1B",315,6,43
"doi:10.18739/A20C33",20,173,55
"doi:10.18739/A20C4SJ5K",29,17,236
"doi:10.18739/A20C4SJ7J",1,18,194
"doi:10.18739/A20C5V",331,11,82
"doi:10.18739/A20C67",331,11,82
"doi:10.18739/A20C80",12,170,57
"doi:10.18739/A20D1P",76,19,165
"doi:10.18739/A20D3F",80,15,133
"doi:10.18739/A20D4T",97,5,51
"doi:10.18739/A20F79",20,5,51
"doi:10.18739/A20F92",331,11,82
"doi:10.18739/A20G00",331,11,82
"doi:10.18739/A20G1C",331,11,82
"doi:10.18739/A20H23",38,16,235
"doi:10.18739/A20J7B",331,11,82
"doi:10.18739/A20J8Q",315,6,43
"doi:10.18739/A20J93",315,6,43
"doi:10.18739/A20K01",315,6,43
"doi:10.18739/A20K26B17",109,8,62
"doi:10.18739/A20K5X",7,169,37
"doi:10.18739/A20K9F",3,20,106
"doi:10.18739/A20M0C",2,21,125
"doi:10.18739/A20M1R",28,170,59
"doi:10.18739/A20M4W",18,167,24
