"ID","degree","eigen_clust","walk_clust","url"
"doi:10.18739/A2000001N",1,1,81,"https://arcticdata.io/catalog/view/doi:10.18739/A2000001N"
"doi:10.18739/A20000024",7,2,231,"https://arcticdata.io/catalog/view/doi:10.18739/A20000024"
"doi:10.18739/A20005",19,3,26,"https://arcticdata.io/catalog/view/doi:10.18739/A20005"
"doi:10.18739/A2002X",26,4,225,"https://arcticdata.io/catalog/view/doi:10.18739/A2002X"
"doi:10.18739/A2020V",97,5,51,"https://arcticdata.io/catalog/view/doi:10.18739/A2020V"
"doi:10.18739/A2027H",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A2027H"
"doi:10.18739/A2028PC41",33,7,128,"https://arcticdata.io/catalog/view/doi:10.18739/A2028PC41"
"doi:10.18739/A2028PC7G",109,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A2028PC7G"
"doi:10.18739/A2028W",19,9,138,"https://arcticdata.io/catalog/view/doi:10.18739/A2028W"
"doi:10.18739/A20298",25,167,24,"https://arcticdata.io/catalog/view/doi:10.18739/A20298"
"doi:10.18739/A2033B",23,170,79,"https://arcticdata.io/catalog/view/doi:10.18739/A2033B"
"doi:10.18739/A2036G",11,10,238,"https://arcticdata.io/catalog/view/doi:10.18739/A2036G"
"doi:10.18739/A2052N",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A2052N"
"doi:10.18739/A20531",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A20531"
"doi:10.18739/A2057CR7B",9,12,127,"https://arcticdata.io/catalog/view/doi:10.18739/A2057CR7B"
"doi:10.18739/A2057CR99",109,8,62,"https://arcticdata.io/catalog/view/doi:10.18739/A2057CR99"
"doi:10.18739/A2058X",27,13,1,"https://arcticdata.io/catalog/view/doi:10.18739/A2058X"
"doi:10.18739/A2063C",32,170,25,"https://arcticdata.io/catalog/view/doi:10.18739/A2063C"
"doi:10.18739/A20819",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A20819"
"doi:10.18739/A20921",10,14,110,"https://arcticdata.io/catalog/view/doi:10.18739/A20921"
"doi:10.18739/A2094S",80,15,133,"https://arcticdata.io/catalog/view/doi:10.18739/A2094S"
"doi:10.18739/A20955",38,16,235,"https://arcticdata.io/catalog/view/doi:10.18739/A20955"
"doi:10.18739/A20B8N",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A20B8N"
"doi:10.18739/A20C0Z",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A20C0Z"
"doi:10.18739/A20C1B",315,6,43,"https://arcticdata.io/catalog/view/doi:10.18739/A20C1B"
"doi:10.18739/A20C33",20,173,55,"https://arcticdata.io/catalog/view/doi:10.18739/A20C33"
"doi:10.18739/A20C4SJ5K",29,17,236,"https://arcticdata.io/catalog/view/doi:10.18739/A20C4SJ5K"
"doi:10.18739/A20C4SJ7J",1,18,194,"https://arcticdata.io/catalog/view/doi:10.18739/A20C4SJ7J"
"doi:10.18739/A20C5V",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A20C5V"
"doi:10.18739/A20C67",331,11,82,"https://arcticdata.io/catalog/view/doi:10.18739/A20C67"
