"ID","degree","eigen_clust","walk_clust","LastName","ORCID"
"000405a2-230a-428b-9142-f10a30904b3d",3,238,224,"Ben-David",""
"001496a4-2475-47eb-99bf-2406093d744d",4,1,24,"Hauer",""
"0015bfdd-e71f-4e48-85c3-1ce2cb8d224a",2,190,319,"Dibb",""
"0029b7e1-93c3-4f3f-9204-d65c83554f0d",5,133,323,"Wollheim",""
"0032dd6b-d6a2-49ea-8562-25580dd13065",6,11,235,"D'Andrea",""
"00884de9-1f56-48b9-8e0f-cfbf28ff24dd",1,289,31,"Melling",""
"008bc6c2-317f-4f25-b697-7c59409c5bbb",2,155,76,"Lazar","https://orcid.org/0000-0001-6403-5649"
"008f43e8-115c-4e77-8afa-e345ba29702a",4,1,24,"Hauer",""
"00b69121-d23b-4c55-a4e2-d805798ffa82",1,191,302,"Tweedie",""
"00c7058a-33ec-4739-81b0-46df857b1f7f",5,254,44,"Pekel",""
"0129ac22-92a4-4d38-b201-32b0275145fd",7,289,1,"Etringer",""
"012d9ccb-e332-4ada-9c0f-d3ab34cad14f",4,1,24,"Post",""
"014b891b-d294-4e20-82d5-c02ef2c66196",50,289,6,"Cooper",""
"01785d43-fe34-4d06-b05a-a1d6c11948a0",2,235,214,"Crofts",""
"0186359b-1cde-4860-8f71-5a2375e1194c",45,283,6,"Zulueta",""
"018dba33-4fd7-4739-a3e1-6081a0627071",3,3,6,"Campbell","https://orcid.org/0000-0002-3710-9750"
"01b1f7cd-87da-4acb-a5be-3490d5b3a87d",4,1,24,"Post",""
"01b93416-fa0e-45d5-ae10-016a4405ad61",2,231,51,"James",""
"01bb9584-487d-4474-8d62-40b4e0bcc1d4",16,17,253,"Zimov",""
"01c5ea7e-a99f-43b9-b90c-cf71eb28d7d1",10,114,257,"Lovecraft",""
"01d78fed-b47f-46f9-8d6c-8f867f8d3047",4,1,24,"Post",""
"01ef51b5-dd82-4976-8dee-c371ca495420",2,94,145,"Kerby",""
"01fbc405-c3e7-488e-9b72-7ed6859f85d3",4,1,24,"Post",""
"0256ceaf-678e-43b8-a621-72532791604e",3,263,49,"Hill",""
"025a206d-dbef-41fe-947e-1b29e5f75ae1",6,283,6,"Edwards",""
"0261d004-187f-4312-9703-c0d84bce2d1f",7,289,81,"Li",""
"028bd679-54fb-4093-8c9b-2055650f5e9f",4,1,24,"Hauer",""
"0290c543-7225-49a2-b88f-f286cd784571",1,189,305,"Oberbauer",""
"02b689c3-f88e-4126-9d3c-3e8b4966fe1d",46,283,6,"Volz",""
"03078453-fcbb-48e1-9bd6-5da304a60278",5,272,70,"Jones",""
"0330d310-d613-46b1-94a8-f5b85ece1420",1,289,31,"Melling",""
"0358bb00-a4d2-4869-91a3-01d54b1ad919",1,48,298,"Healey",""
"036a5b3c-4c14-44c1-b9df-0d5a50be538f",4,1,24,"Post",""
"03b27dad-2f51-4f8a-b114-26a199703634",4,1,24,"Hauer",""
"03b87f23-aab9-4e57-a5c4-103a40eb5359",4,1,24,"Hauer",""
"03e464cd-3d30-4c12-85e6-61bf81ef3c71",2,268,92,"Steiner",""
"03e986a7-34d2-454e-af5e-5f89d6bd8725",4,1,24,"Hauer",""
"03eb09e3-1c0b-4841-8387-ba74b0558e23",5,283,80,"Stow",""
"0443562c-8f7c-4f7b-a27a-3dc0396bdb00",7,12,240,"Purves",""
"044fc289-873b-4068-91f0-111fb28c836a",2,159,99,"Panteleev",""
"0467ba8e-679e-4542-9612-78dd52b4b2ba",2,104,188,"Ashjian",""
"0467fcc6-e50f-4144-9f7e-285b1a56c019",5,202,177,"Wooller",""
"04790353-2a02-48e9-9bca-cf3e7180f175",4,1,24,"Post",""
"048c46b1-226e-4fe8-bf2d-8affd0f9e5c3",3,289,6,"Laundre",""
"048e8813-d5ef-4447-9398-82ba57c16f59",4,283,1,"Drobot",""
"04d3b3c1-923b-4612-b72a-1f3f476e96ef",8,259,165,"Delarue",""
"04da38bf-13a8-4132-844d-cd1329db6088",4,3,72,"Potter",""
"04e3346f-ec9f-48a2-aa71-8cda820519d0",7,173,324,"Takatsuka",""
"050c04d0-6df0-4f0e-bc8b-b4c7ba52faa0",3,289,68,"Roby",""
"051eb8ea-e8db-4a8c-b644-9d8a5b35e23c",4,289,4,"Clapham",""
"0531dc7a-8369-44ed-859c-93ed90521028",4,1,24,"Post",""
"05514d6c-e316-4af7-bc72-0c76093429d1",4,1,24,"Hauer",""
"0574cc69-c5e2-4281-9ae0-86888782b3f6",1,289,64,"Turco",""
"05751f18-50dc-4499-8134-b1833e4f36c6",1,283,6,"Zona","https://orcid.org/0000-0002-0003-4839"
"05b551ec-bdde-451d-9430-bd1d040171c7",4,1,24,"Hauer",""
"05b74d20-a16a-4547-b706-dc8d549226d4",4,1,24,"Post",""
"05b79bd6-fa61-46ae-8764-b2dcc73ab58a",4,1,24,"Post",""
"05b9127b-f7e4-445e-9e8e-2755fd89e77c",3,54,40,"Kemnitz",""
"05c3bd54-5c2c-4ea0-928e-0cbdb105d11e",55,283,6,"Liston",""
"05c47967-961a-4172-939e-ec4d80f8ad54",10,62,7,"Murthy",""
"05caa056-79bb-4fc8-8a4f-9f02f8da0071",2,262,317,"Armstrong",""
"05cf3ebd-4a32-40d7-a432-543c7c4f6fd8",8,285,3,"Ellerbroek",""
"0614de8d-341a-4782-b185-22af73d94808",6,3,45,"Whitledge",""
"0655c357-c57d-47a5-b418-158936d74750",4,1,24,"Post",""
"065c959e-c20b-4af8-8a40-49f6249c39a8",1,3,27,"Steele",""
"06732f36-ac94-4a14-adcb-2cfc209c790a",5,254,44,"Ceccato",""
"068de73b-a82c-4c09-a4ab-b66b1401d21b",2,213,207,"Williams",""
"06923d03-fb81-42a7-aefa-2e9b97d9c5b7",2,286,6,"Rayner",""
"069aa6a7-b04d-41d9-b9d3-213faa0e73e2",11,286,6,"Hayes",""
"069bb2d2-fe89-4e4b-8dc4-278557ff07c3",3,3,6,"Stockwell",""
"06ba8afc-ee7c-456d-a6bb-3d207e80b837",4,30,17,"Golosov","https://orcid.org/0000-0002-1738-0033"
"06c34410-7146-415b-b403-dd21aa51fbc2",4,1,24,"Hauer",""
"06cfc071-174a-41fe-baa4-c7eb8afa12f3",11,289,19,"Benner","https://orcid.org/0000-0002-1238-2777"
"070bfafe-78aa-4552-8baa-a5a275cab625",4,1,24,"Hauer",""
"077230a3-5592-45d4-8359-4efd0c6b68d9",7,3,2,"Muench",""
"078ed343-341b-4c9a-a594-274eb989cee9",7,289,6,"Anderson",""
"07ee45d0-7a5b-4223-9778-acc5e7f2b9d9",2,270,140,"Francis",""
"082fc11a-c4cf-46f5-b35f-39455cd88e88",4,1,24,"Post",""
"086af621-a54c-4ef5-ad4a-8389be1875d2",1,137,292,"Morison",""
"08825d5e-1faa-49fe-8a3a-ed63e1878fe0",10,114,257,"Fukamachi",""
"08988098-8f93-47f6-b00d-5f8391a0b7ee",2,2,53,"Flagg",""
"08989413-b1ff-4bc7-b879-9e28c837329c",7,173,324,"Iwamoto",""
"089d87ce-aee8-4ff8-b2d7-b277533930ae",15,285,3,"Jafarov","https://orcid.org/0000-0002-8310-3261"
"08a5502c-c6aa-48b2-ad67-111e5bdc42bb",4,1,24,"Hauer",""
"08a88956-6869-4bc3-ae24-898b5ddd890d",2,84,226,"Lipson",""
"08d7fac1-1b72-4729-b3db-910c7ad50813",2,43,183,"Loranty",""
"09042607-65b9-4634-bf4a-32006719cbd2",4,1,24,"Post",""
"095dc165-1b42-407c-8e0d-dd918f32410a",4,1,24,"Hauer",""
"0966eda2-5438-4258-8987-9b4bfcd4659a",4,1,24,"Hauer",""
"097b6f03-09ca-4c9e-b2ca-bca7ee523f78",3,160,109,"Jo Brodzik",""
"09cb6be5-77b2-41f5-9678-841232d29405",3,129,89,"Bret-Harte",""
"0a01c9b2-345d-4d1f-ab28-2a355cfb611a",4,1,24,"Hauer",""
"0a211746-84de-4759-816b-6143ad4e2476",1,53,289,"Raab",""
"0a334b64-95ef-40be-8c13-33c9dfbd813e",4,1,24,"Post",""
"0a5d11bb-9dff-4658-bf46-d764965af343",1,167,100,"Huntley",""
"0a7bb6fc-39ba-4973-9b6a-c95d24ce75f5",4,240,236,"Roth",""
"0a9c9c56-8b3c-447f-91bd-8b7cd38be633",1,139,129,"Miller","https://orcid.org/0000-0002-8846-7048"
"0ae238b1-684f-42fd-bc88-f80ed25660e5",23,283,6,"Eugster",""
"0aebdd61-27e7-4127-a3a1-1aaea073ea46",4,1,24,"Hauer",""
"0b014723-28a9-4ad9-a3c8-e602de8b5eee",1,208,328,"Tedesco",""
"0b12f030-0bd3-46bf-9231-d643219800c5",4,1,24,"Hauer",""
"0b19f0b6-3225-4b65-aa6d-818d3475a5ff",4,1,24,"Post",""
"0b202279-c55c-480c-b3a5-baa8d3de6973",6,200,172,"Boot",""
"0b4ce6bc-8e8c-4ed2-ad74-20d423d1995b",5,254,44,"Chen",""
"0b58f8db-b3f1-411e-a100-3dbe1c4702c5",4,1,24,"Post",""
"0bcbae3e-98b6-4323-9d7e-e19bcf0551f3",13,269,318,"Edenfield",""
"0bde39e8-a8a8-4ff2-bfa8-0642a4409c8b",4,16,159,"Wooller",""
"0be4ef60-0bbc-4f63-8532-5cfeb3368b1e",10,114,257,"Heinrichs",""
"0be6f07b-50a1-493f-b132-c4ec5257dc10",11,286,6,"Melillo",""
"0bed4fe6-9c1e-48ae-bede-954e2c7ece99",8,87,210,"Buckley",""
"0bf3e5b6-c0f6-496f-9398-48e22ab4d438",3,23,192,"Welker",""
"0c2ee289-4d0b-4cca-93cc-a7dab1f4a1ca",13,249,250,"Watts",""
"0c51144a-fc13-40c6-bbce-1cc8ebe7b7a9",4,16,159,"Gradinger",""
"0c5c61aa-0f48-48ac-8180-6478230433e3",5,289,82,"Banwell",""
"0c6dcd62-928f-42dc-aed6-f219d1a4ec5e",3,239,234,"Severinghaus",""
"0c754994-bed7-4177-92c9-9140c57b9cda",1,203,295,"Deming",""
"0c9fbff3-94cb-4944-94c5-53752acc0c8c",4,1,24,"Post",""
"0ca92e2e-c46f-46eb-ac51-6f8047ec416e",4,1,24,"Hauer",""
"0cca8cef-286f-498d-a672-74dd91f79907",4,1,24,"Hauer",""
"0ccbf37f-a72b-4d44-b010-e4ffe7f0b824",4,1,24,"Post",""
"0cee22ba-b10b-4a6c-ba95-b1465af43619",15,285,3,"Zhang","https://orcid.org/0000-0003-3560-6187"
"0cf40ec1-17ee-4329-aaad-dd68d962a9c1",3,289,8,"Ianelli",""
"0d0a3ef1-cf97-432a-a272-50b16ab97bdd",4,1,24,"Hauer",""
"0d25b18e-c811-4937-86ec-24c2788763c1",2,52,215,"Bramall",""
"0d3180e1-ec0a-4ce0-9d69-7f9968a9e730",7,288,50,"Paulson","https://orcid.org/0000-0003-2068-3999"
"0d3e4491-1e57-4ee9-b8ee-56a439a38a47",5,174,90,"Wang",""
"0d427763-c6b2-40eb-9cb1-ee0696a5bdfb",2,289,25,"Macdonald",""
"0d5d1ca3-a4a2-4eae-8536-b8f1eb1ef94d",26,13,9,"Amundson","https://orcid.org/0000-0002-2801-3124"
"0d85a993-19f0-4f65-8fe9-ec7a9a4f018b",4,1,24,"Hauer",""
"0dc956d7-278c-4a24-9d36-b043e5b7205b",6,116,259,"Meyers",""
"0ddf7b49-3f69-4b7d-bd20-e234e81b2829",1,110,174,"Healey",""
"0de2e4e4-90fe-41c1-8e83-8cf5e21241c5",4,1,24,"Hauer",""
"0dfbd447-b438-45a4-8414-4c307477ffc8",3,228,220,"Csank",""
"0e0f34c9-38e5-4279-b26c-c6136e7c8df2",1,170,94,"Andrews",""
"0e22d78d-6141-4a4c-afc4-3cdae71c2755",3,241,270,"Gooseff",""
"0e552d04-d86f-4032-a1a2-cc7cb12744f7",1,289,39,"Casas",""
"0e661c11-eea6-4307-a420-43b96f04feb6",4,287,20,"Mann",""
"0e782ff2-792b-49de-baed-5e06591f7735",5,22,21,"Cox",""
"0e7836ec-4067-4198-8f7b-f6713aef2997",4,1,24,"Hauer",""
"0e8b23af-0205-4110-9682-3f3a06174552",40,289,25,"Harvey",""
"0e97d907-c71f-4667-9421-d03fa0116365",4,1,24,"Hauer",""
"0ebeb2fa-0c83-44b7-a6d0-50be95c71780",1,153,115,"Miller",""
